"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Авторизация","5","0","Негативный сценарий","0"
"0","","0","","2","0","","0"
"0","","0","Авторизация","1","0","Позитивный сценарий","0"
